Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201407,13097916.49,6723387.772,9802751.138,21369359,10351055.22,25234512.7,14378345.27,15870318.3,26680428.07,20006164.14,9904424.805,3035695.188,12973082.92,8647833.806,13289297.39,17104999.91,21575753.98,10858525.48,8990816.618,15922971.75,8923890.826,15857125.01,13680860.78,11612870.56,10806549.34,22245392.3
201408,10785334.47,7650697.265,8006000.008,20291975.57,9685183.297,28864854.86,15408742.98,12053019.79,27100028.33,13214237.88,13046855.65,2046250,14881058.36,9428331.5,13736924.12,11096445.16,19570110.38,6783327.5,21565000,9335375,13278311.88,12449527.28,13087060.75,10422627.59,12971753.66,19396689.19
201409,14922373.1,8332575.341,6823460.333,19824018.99,11832522.55,33613123.37,13523752.36,8225795.038,29436512.97,13416439.88,12662803.68,8666938.173,9079885.113,10896528.75,15968034.66,10528204.66,21421191.35,12414753.34,18572572.5,7148740.75,13823126.69,6214596.443,14617494.75,12161069.05,15872095.47,20551232.14
201410,17585349.5,10671215.61,17370529.35,17636297.55,9226922.209,33029719.55,14841587.97,17777683.36,27207119.14,10130316.14,9198641.105,5338871.126,15351038.93,8437000.178,12626530.87,6439112.361,23269555.91,12027793.95,6270289.002,3044848.882,11417156.54,16129150.34,14872304.75,12879007.14,15640154.07,29251896.84
201411,14930729.85,8487881.396,14287842.78,14425698.5,11805450.75,32495320.91,15317590.82,13526931.49,29566566.96,23184641.14,7299101.611,6675928.429,15314204.85,7689738.5,17443112.7,8325919.904,25703974.65,8542770.592,10262936.35,9891241.25,12331872.29,14017108.13,15423649.31,13537616.26,15167487.06,27757065.9
201412,15161012.1,7745492.674,14816443.97,19422458.33,8956191.49,28932562.86,15191869.79,16300933.84,22275364.52,15895589.88,11678028.29,5969723.558,12506653.06,7232818.265,14520557.74,10401675.6,27646271.74,12929352.5,7584088.917,6979644.521,11257602.99,6934490.093,18133753.58,9971845.251,13083804.53,29756919.6
201501,20779977.25,8326931.176,9968537.806,17649829.15,5144047.455,35542597.42,12097499.37,12499343.16,25972080.77,18073666.23,3114833.333,7467008.37,7409500.19,7947707.786,15352053.39,15617527.12,26065974.29,11840599.89,4698900,3405000,10435970.38,10782159.5,16457500,11542745.7,13623438.96,25404606.44
201502,13160073.03,9895821.852,10434120.76,18365055.12,12621619.61,29910121.75,12979120.05,13371228.15,25790709.68,12313333.33,10256791.46,4975893.629,4705369.918,5369713.375,14550199.37,9347547.929,25956396.04,14772312.44,9301608.183,6881051,10133233.64,10654413.36,17200754.75,12000014.5,12627679.91,24197575.75
201503,15177310.37,7271945,14778745.71,18553481.62,5877111.128,32678408.54,13472886.06,15556992.03,26917735.12,16580478.1,4766476.429,6313214.022,16240645.26,7088779.25,8432188.251,8347388.058,23021040.76,7307772.41,6999999,5448000,7697272.109,18624320.84,9752532.9,11640843.75,14168871.15,27303868.72
201504,11378606.86,7547200.163,12227487.92,20467387.22,11681602.55,25959685.05,15219926.29,15346970.4,28345688.47,15145413.14,13423174.43,9241625.135,16856139.81,5949667.081,16709255.74,11576029.26,20205330.41,12175031.5,7633679.118,6960517.458,12226801.69,18218112,11917500,9020015.25,7455432.262,28787222.04
