Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201201,111111.1111,82062.5,118280.1281,157651.6733,99017.70968,241703.2893,137367.2839,161685.8182,181896.5952,144932.3529,108095.1027,90849.75,131388,63642.85714,131720,94485.35484,140645.6754,79572.72727,128996.1538,93673.07692,93500,115133.3438,122396.963,78400,113862.8914,196570.9017
201202,133646,110590.9091,125150,153240.517,102988.1395,243158.5909,154320,128943.8158,175067.551,117996.2414,82415.51765,78928.57143,114654.4792,76373,105314.6667,115434.1463,146430,89090.92308,130580.6667,71410.71429,92100,114727.1795,111185.57,85461.49172,126243.8158,173879.0323
201203,92343.75,116165.3077,140809.8158,151429.5684,101712.5435,246359.8212,150039.2157,141796.376,180510.6383,115748.3217,147169.6429,119050,146480.5819,95236,114731.25,116084.2038,160273.8095,84737.5,121687.5,122942.3077,105958.3333,112376.7978,86520.27432,105581.8966,114706.3725,201464.4762
201204,101219.0476,90031.88235,144781.25,160403.2923,103360.6479,230226.2775,159995.403,126554.0561,134806.2368,137315.7895,84365.72103,83714.28571,121831.6327,71333.33333,90943.625,83972.25806,160880.6471,88230.33333,104438.2353,69046.82609,103007.0385,103758.3333,115864.6667,123190.4762,106747.0288,193278.2
201205,114375,70960.52632,111252.0233,154426.699,98195.21739,245901.766,150549.0363,122359.0909,182376.1905,126375.5916,94460.32258,131888.8889,130741.2688,63505.03364,112421.9291,110343.75,177163.75,89960,104345.9908,73982.58333,97625,96816.19326,112952.6,105738.88,109202.4074,168108.6667
201206,83416.29909,85102.95238,126690.2381,156032.5301,105920.7143,212818.4603,158081.1688,120442.523,174532.7,102860.1852,74342.6087,89137.5,118964.5,84694.51818,109575,91897.02703,185000.0577,96937.5,127884.6154,90670,110562.5,97291.25,109545.4545,113582.3785,127519.8523,191317.0635
201207,123569.8836,129590.9091,92646.92857,184710.3927,85403.01519,253447.0289,162284.3608,134760.0832,155151.5211,132352.9412,88999.34375,110642.8571,131074.0891,77070.08333,145777.0513,110078.7039,163945.697,122411.9375,104500,79475.375,129740.1515,100641.2511,113896.2,118554.2857,114543.8933,213816.9301
201208,107471.44,82691.17647,139385,160299.8276,94988.97727,248572.7187,167683.0759,129972.3625,193380.9523,126106.8966,98107.30769,89576.92308,151915.8671,104125,143050.9487,104011.1232,175924.6383,92750,143240.4762,68755.17241,92330,97961.90196,118021.2766,83885.39394,128574.8424,247086.6038
201209,117457.5,103640,130401.1563,166771.0357,87540.46512,245387.3355,160532.9545,109424.4468,175061.1184,136605.9524,95300.35714,82653.84615,147571.1667,81604.28211,109106.0538,110347.9141,174545.5938,89817.70167,110862.5,83280,108483.3333,106481.7778,116340.9091,141757.1429,104632.9166,229230.1916
201210,103194.4444,103934.8148,121996.2045,155000.2218,91589.8871,233599.8553,154847.9855,123532.8095,176493.6047,122275.119,80435.90909,72178.125,118310.65,77526.47059,112244.3918,111277.1818,159897.9041,82559.1,112284.7,75816.66667,125970.5862,110415.7914,97131.57895,101625,118540.6579,212008.6
201211,101247.0765,100982.7586,102737.8788,161818.1236,99294.24984,243467.3837,143470.3382,146505.5556,180353.2854,150594.7368,82429.25581,79760.86957,128295,79477.955,131549.4057,104156.7123,158950.8816,106860.5238,101678.125,71620.34483,87727.2093,103696.3014,101110.3947,106933.3333,127451.2869,211119.9367
201212,93443.92308,94877.27273,132954.1471,162321.8733,94220.38272,247001.152,156327.3523,130758.3099,193904.0308,122966.3137,95471.5,115500,143215.4257,62571.13115,116011.6138,90937.63395,177414.253,121323.75,99896.91176,89955.86571,93922.26087,95434.69479,114061.3654,93922.44898,112103.0663,206208.2943
201301,100840.5455,99531.25,106892.5152,153701.7714,64456.73171,238687.167,113428.278,92906.5,162485.8864,129470.5882,89371.93333,62973.71429,130038.8019,60905.66214,90957.14286,76418.57564,152804.2437,72333.33333,77970,71587.5,91269.23077,123563.4186,104704.5455,92265.21739,118821.4706,180397.3404
201302,120176.4706,77698.89286,111857.7273,152642.8343,92803.15385,230918.934,145422.3206,128486.1667,165838.8889,106451.1374,112213.4667,79166.66667,118194.5946,70703.41667,119658.3333,120459.375,141424.75,71495.71429,98935.64583,80265.85714,83288.46154,83496.38298,114253.24,107381.7857,108335,220676.1429
201303,86772.72727,89750,117420.1147,145116.5,81916.94488,237677.6513,160273.3904,94930.86,177468.3824,110711.5,112140.4762,63934.61538,103949.08,59406.088,109904.5106,85102.90323,121816.3265,97470.58824,81936.84211,67467.70833,75084.61538,122596.3415,117122.8205,83287.40741,112461.6354,200038.4615
201304,93517.64706,89968.75,117656.25,144250.9787,81980.60438,235945.0775,130805.5176,123920.54,164465.8141,131537.5,84528.16667,92907.14286,141713.2353,45735.8125,96571.25182,87176.55172,144348.4411,69700,86400,71428.57143,99071.42857,97566.66667,107953.4884,100619.885,106680,196141.4423
